玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 12:24:58.56 ID:bwzwHXw0<>【旅の概要】<br>期間：2010年9月12日～9月19日<br>ルート：東京～大阪～尾道～今治～徳島(フェリーで東京に帰還)<br><br>玉虫：男、大学生、今年3月にスノボで半月板を痛め手術<br>車種：ロードバイク(あずにゃん号)、08 Cannondale System6<br><br>【過去ログ・画像・動画集】<br>過去ログ：<br>dat版：ttp://www1.axfc.net/uploader/Sc/so/155091<br>html版：ttp://www1.axfc.net/uploader/Sc/so/155093<br><br>PASS:tamamusinyan<br>datなにそれ？な人はhtmlを落としてね！index.htmlで上から順になってるはずだから<br>※パー速のログは含みません <br><br>旅掲示板：※シロロさんありがとう！<br>ttp://tabi.shiroro.com/10/tamamushi/<br><br>画像集(＠ピカサ)：<br>ttp://picasaweb.google.co.jp/106482100541094568365/QsXwxG#<br><br>ニコニコ動画：<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.nicovideo.jp/watch/sm12181037<br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.nicovideo.jp/watch/sm12190163<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.nicovideo.jp/watch/sm12201381<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.nicovideo.jp/watch/sm12225639<br><br>Youtube：※YoutubeはHD画質でうｐしてます！<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.youtube.com/watch?v=lCbsWp7XfMg <br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.youtube.com/watch?v=ajeUHNgbNf0<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.youtube.com/watch?v=WxdswkbTGJc<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.youtube.com/watch?v=qanH0kUW8Fc <>【玉虫×あずにゃん】涼しくなったから自転車で旅行してみた【無事帰還】
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/01(火) 06:41:21.98 ID:ipergLTIo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/01(火) 07:58:16.52 ID:pQcSqXmAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/01(火) 23:04:09.94 ID:pQcSqXmAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/02(水) 02:18:24.65 ID:YYhAmuEPo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/02(水) 07:49:58.03 ID:CSOa4x2AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/02(水) 23:14:49.10 ID:CSOa4x2AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/02(水) 23:58:07.13 ID:giKdQczDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/03(木) 06:29:50.31 ID:xiVLNG3co<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/03(木) 08:10:16.08 ID:4Y7SIJxAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/03(木) 23:29:47.24 ID:4Y7SIJxAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 00:04:05.15 ID:yIwP1IGDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 00:05:31.63 ID:OeMPofmGo<> おやすー <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 01:41:19.02 ID:8KFGxPJMo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 06:52:04.91 ID:8KFGxPJMo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 08:19:06.06 ID:oxBeZkoAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 23:14:17.47 ID:oxBeZkoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/04(金) 23:50:49.62 ID:yIwP1IGDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/05(土) 08:05:27.56 ID:TcdspDqAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/05(土) 23:27:55.42 ID:TcdspDqAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/05(土) 23:45:07.45 ID:MFKgh7sfo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/06(日) 07:05:08.98 ID:CIS/5EoAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/06(日) 07:49:37.26 ID:7IluYn5Zo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/06(日) 12:57:20.83 ID:uoBRzxkBo<> おはおはー <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/06(日) 23:05:34.82 ID:CIS/5EoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/07(月) 01:36:58.32 ID:nfoO3VbHo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/07(月) 07:37:10.17 ID:ymnXHFUAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/07(月) 23:43:48.92 ID:ymnXHFUAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/08(火) 06:35:19.57 ID:qGPZFkzno<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/08(火) 08:08:27.27 ID:5ZSdnJUAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 00:05:34.32 ID:NokXS3+AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 00:37:58.79 ID:QtesiI9DO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 06:54:07.51 ID:UOdyQ3mMo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 07:40:39.20 ID:NokXS3+AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 09:03:04.71 ID:QtesiI9DO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 23:16:05.26 ID:NokXS3+AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/09(水) 23:48:26.22 ID:UOdyQ3mMo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<><>2011/03/10(木) 00:12:42.84 ID:yQjxbQ440<> 当時スレに張り付いてた俺だが  <br>  まさかまだやってたとは思わなかった  <br>    <br>  おやすみ  <br>  完走目指せ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/10(木) 07:50:17.57 ID:8a1ZrnTAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/10(木) 23:29:42.37 ID:8a1ZrnTAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 00:39:30.09 ID:FT089yYDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 02:08:38.05 ID:kM5PuMNmo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 07:54:09.46 ID:ivkYxDWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 07:54:49.82 ID:ivkYxDWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 08:35:04.79 ID:ivkYxDWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 23:06:37.56 ID:ivkYxDWAO<> おやすみ<hr><font color="blue">地震情報：http://ex14.vip2ch.com/earthquake/</font> <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/11(金) 23:56:43.65 ID:kM5PuMNmo<> おやすみ<hr><font color="blue">地震情報：http://ex14.vip2ch.com/earthquake/</font> <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/12(土) 08:28:36.27 ID:UT0NlpAAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/12(土) 23:08:33.14 ID:UT0NlpAAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/12(土) 23:51:06.25 ID:t/uYy6GDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/13(日) 07:10:34.66 ID:PIzsdWKAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/13(日) 23:07:29.60 ID:PIzsdWKAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/14(月) 08:08:45.03 ID:nnOUNBeAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/14(月) 23:16:56.74 ID:nnOUNBeAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/15(火) 01:33:46.95 ID:ubgkSHJzo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/15(火) 06:43:45.01 ID:ubgkSHJzo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/15(火) 08:10:59.30 ID:xXO7cb8AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/15(火) 23:05:13.04 ID:xXO7cb8AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/16(水) 00:42:02.64 ID:czjhpOWfo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/16(水) 06:43:25.77 ID:czjhpOWfo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/16(水) 07:47:16.55 ID:vcRduEvAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/16(水) 21:55:23.31 ID:vcRduEvAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/17(木) 01:11:49.44 ID:OmyeM66lo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/17(木) 06:39:36.45 ID:OmyeM66lo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/17(木) 08:31:37.62 ID:VxQYYopAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/17(木) 23:22:51.95 ID:VxQYYopAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/18(金) 06:40:55.78 ID:SCMwcCxIo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/18(金) 08:05:17.52 ID:tDdtLQPAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/18(金) 23:28:13.09 ID:tDdtLQPAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/19(土) 07:52:12.70 ID:nStxgPTAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/19(土) 22:58:43.97 ID:nStxgPTAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/20(日) 01:19:42.20 ID:BhpUxjBqo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/20(日) 07:13:07.74 ID:a5mYopkAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/20(日) 23:10:26.64 ID:a5mYopkAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/20(日) 23:52:46.41 ID:r1a9tGbDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/21(月) 08:15:38.85 ID:bx9lJjYAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/21(月) 23:41:36.03 ID:bx9lJjYAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/03/21(月) 23:42:07.82 ID:8/Tweqhko<> おやすー <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/21(月) 23:59:24.12 ID:2DZw0oFDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/22(火) 00:00:02.81 ID:5VEJWdkDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/22(火) 07:45:08.60 ID:Ue83AbYAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/23(水) 01:31:36.80 ID:x1yohwsQo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/03/23(水) 01:36:08.98 ID:DM62dYago<> おやすー <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/23(水) 06:22:43.51 ID:x1yohwsQo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/23(水) 08:16:38.81 ID:WjbaPSnAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/23(水) 23:30:34.93 ID:WjbaPSnAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/24(木) 01:32:16.56 ID:BI654QAPo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/24(木) 06:36:47.29 ID:BI654QAPo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/24(木) 07:47:00.92 ID:MH7Y+cfAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/24(木) 23:31:27.55 ID:MH7Y+cfAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/25(金) 01:38:54.22 ID:stTJAoQto<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/25(金) 07:38:28.67 ID:F/HEDRQAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/25(金) 23:34:58.95 ID:F/HEDRQAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/03/25(金) 23:35:51.94 ID:joclqfvJo<> おやすー <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/26(土) 01:07:57.34 ID:KxnJyqSco<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/26(土) 06:40:26.45 ID:KxnJyqSco<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/26(土) 07:58:00.12 ID:PlVnuJzAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/26(土) 23:13:12.55 ID:PlVnuJzAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/27(日) 00:04:24.58 ID:HxuaC3FGo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/27(日) 07:27:56.25 ID:YukMXMbAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/27(日) 23:26:15.31 ID:YukMXMbAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/28(月) 06:42:12.24 ID:RO9cgRXfo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/28(月) 07:59:20.37 ID:X0sq8SWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/28(月) 23:33:04.13 ID:X0sq8SWAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/03/29(火) 01:10:25.53 ID:FL486N0Eo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/03/29(火) 01:14:53.10 ID:iRBIhs0+o<> おっやすー <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/29(火) 07:47:24.52 ID:aMJlMypAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/30(水) 00:16:51.45 ID:bJunytyAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/30(水) 08:11:05.48 ID:bJunytyAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/30(水) 23:06:51.45 ID:bJunytyAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/31(木) 08:05:47.18 ID:DSwrdeAAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/03/31(木) 23:17:32.13 ID:DSwrdeAAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/01(金) 02:01:53.72 ID:aBY4SURLo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/01(金) 06:45:38.59 ID:aBY4SURLo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/01(金) 07:54:14.94 ID:eojrbUnAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/02(土) 07:54:13.10 ID:Tzk8E4rAO<> おやすみ  <br>    <br>    <br>    <br>    <br>    <br>    <br>    <br>    <br>    <br>  おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/02(土) 23:37:40.06 ID:Tzk8E4rAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/03(日) 07:38:03.67 ID:Q7HO0rHAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/03(日) 23:10:57.24 ID:Q7HO0rHAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/04(月) 01:57:30.32 ID:SkdrveNao<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/04(月) 08:26:07.26 ID:FHm/w6WAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/04(月) 23:13:53.78 ID:FHm/w6WAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/05(火) 00:03:36.60 ID:SiuldX/Xo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/05(火) 07:56:59.84 ID:0tI61aoAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/05(火) 23:20:55.32 ID:0tI61aoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/06(水) 06:25:05.36 ID:1USw/Lcgo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/06(水) 07:55:12.24 ID:TBcOewmAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/06(水) 21:15:17.07 ID:TBcOewmAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/07(木) 06:24:15.65 ID:T08ribn3o<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/07(木) 08:16:59.01 ID:X29oAdDAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/07(木) 23:27:32.01 ID:X29oAdDAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/08(金) 01:00:03.70 ID:DfkpKQPVo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/08(金) 08:18:02.68 ID:5/4Tcx5AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/08(金) 23:12:09.75 ID:5/4Tcx5AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/04/08(金) 23:15:19.30 ID:cCzBo7jCo<> おやすー <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/09(土) 01:19:26.96 ID:Q8wfoy9Bo<> おやすみぃ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/09(土) 07:52:49.79 ID:y6iEqT2AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/09(土) 23:15:38.39 ID:y6iEqT2AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/10(日) 00:23:40.38 ID:QjRsK6wPo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/04/10(日) 00:23:54.57 ID:i4QbdQrEo<> おっやすー <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/10(日) 07:16:46.22 ID:AlHaBtJAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/04/10(日) 07:18:13.81 ID:i4QbdQrEo<> おはおは <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/10(日) 23:48:49.58 ID:AlHaBtJAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/11(月) 00:03:42.67 ID:5DWLmU5mo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/11(月) 07:57:05.85 ID:+ah4z+pAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/12(火) 01:15:07.29 ID:7BRGVSeOo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/12(火) 08:26:50.23 ID:s086CaoAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/12(火) 22:52:56.85 ID:s086CaoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/04/12(火) 23:46:45.47 ID:HrUWE98DO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/13(水) 02:24:41.51 ID:FR1IipDEo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/13(水) 06:27:01.19 ID:FR1IipDEo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/13(水) 07:56:24.84 ID:WwtOvrpAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/13(水) 23:13:57.08 ID:WwtOvrpAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/14(木) 05:38:38.86 ID:zAhQyT8Do<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/14(木) 07:48:27.09 ID:sDLOGEPAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/14(木) 23:11:09.32 ID:sDLOGEPAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/15(金) 06:39:59.62 ID:A36Y3ktZo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/15(金) 08:02:38.01 ID:LzW994bAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/15(金) 23:44:56.10 ID:LzW994bAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/16(土) 08:01:06.26 ID:UbILBs2AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/04/16(土) 08:49:25.00 ID:ast2kBODO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/04/16(土) 08:55:13.66 ID:vVEDQSjvo<> おはおは <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/17(日) 00:18:39.88 ID:4lqRoMcAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(大阪府)<b><>sage<>2011/04/17(日) 00:25:07.73 ID:ggPuXpDi0<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/17(日) 07:15:40.71 ID:4lqRoMcAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/17(日) 23:48:27.30 ID:4lqRoMcAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/18(月) 00:04:25.65 ID:2yjbHMrko<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/18(月) 07:53:48.58 ID:9BiA+/TAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/18(月) 23:00:14.48 ID:9BiA+/TAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/18(月) 23:56:57.93 ID:2yjbHMrko<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/19(火) 06:24:01.86 ID:v0q2Ynodo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/19(火) 07:50:21.07 ID:oEl8nWHAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/19(火) 23:11:17.19 ID:oEl8nWHAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/20(水) 01:21:49.10 ID:fHsi7jfto<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします</b>(新潟県)<b><>sage<>2011/04/20(水) 06:29:21.50 ID:fHsi7jfto<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(山陽)<b><>sage<>2011/04/20(水) 08:07:02.85 ID:ZUJrFhlAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします</b>(チベット自治区)<b><>sage<>2011/04/20(水) 08:08:32.62 ID:vlUtszNgo<> おはおはー <>
